,true_y,predicted_y
0,1,0.12535946542615206
1,0,0.1770799688362921
2,1,0.466079968844269
3,0,0.24409988166587537
4,0,0.1980875230820068
5,1,0.3091916130516129
6,0,0.10064109486284507
7,1,0.23134403266421205
8,0,0.1685445249493228
9,0,0.04942294044979831
10,0,0.15311689459698632
11,0,0.06287650421475886
12,0,0.1759191383006073
13,0,0.11272524834814783
14,0,0.06975443357279926
15,0,0.17033761773025893
16,1,0.5922377379713779
17,0,0.032577303366586416
18,0,0.23720207591295173
19,0,0.03100090098408546
20,0,0.061693770777522486
21,0,0.1532938417577857
22,1,0.24891565002191077
23,0,0.09155475713396694
24,0,0.08445508682211574
25,0,0.023956001211218984
26,0,0.09214833974833088
27,0,0.2025112658982773
28,0,0.24184144588356388
29,0,0.04623729535464503
30,1,0.24392980059141486
31,0,0.07919979252595877
32,0,0.26886314089613966
33,0,0.11853347119261763
34,0,0.04411032358655003
35,1,0.5297954370749445
36,0,0.0794711216456885
37,0,0.051085649494290744
38,0,0.040037976062911707
39,0,0.0991060297973778
40,0,0.1822641842457965
41,1,0.6204741026613757
42,0,0.5179283906855247
43,1,0.5608734669938894
44,0,0.5463782245244537
45,0,0.09323750762922928
46,1,0.06290555174289371
47,1,0.17187269711583852
48,0,0.10095490786119242
49,0,0.31076382646824213
50,0,0.303502719083649
51,0,0.24172889521732008
52,0,0.15804037152952943
53,1,0.2896260051403597
54,1,0.2862942217993915
55,0,0.14675404305287185
56,0,0.35025236186230607
57,0,0.06077575378122072
58,1,0.7061767233095864
59,0,0.1573874900648123
60,0,0.20921922802537374
61,0,0.20918537043392346
62,0,0.15560220502784936
63,0,0.23149030441091992
64,0,0.04213071176530105
65,0,0.1492149789209024
66,0,0.2912017788583079
67,0,0.1220391260660783
68,0,0.14618005693466718
69,0,0.11270002529398261
70,1,0.5527863270745413
71,0,0.07093350057749916
72,0,0.1859682023610408
73,0,0.07746568526570757
74,0,0.049941576267735766
75,0,0.1640514151048288
76,0,0.15800036011031177
77,0,0.057899347321377186
