customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,619,France,Female,42,2,0,1,1,1,101.34888,1
15647311,608,Spain,Female,41,1,83.80786,1,0,1,112.54258,0
15619304,502,France,Female,42,8,159.6608,3,1,0,113.93157,1
15701354,699,France,Female,39,1,0,2,0,0,93.82663,0
15737888,850,Spain,Female,43,2,125.51082,1,1,1,79.0841,0
15574012,645,Spain,Male,44,8,113.75578,2,1,0,149.75671,1
15592531,822,France,Male,50,7,0,2,1,1,10.0628,0
15656148,376,Germany,Female,29,4,115.04674,4,1,0,119.34688,1
15792365,501,France,Male,44,4,142.05107,2,0,1,74.9405,0
15592389,684,France,Male,27,2,134.60388,1,1,1,71.72573,0
15767821,528,France,Male,31,6,102.01672,2,0,0,80.18112,0
15737173,497,Spain,Male,24,3,0,2,1,0,76.39001,0
15632264,476,France,Female,34,10,0,2,1,0,26.26098,0
15691483,549,France,Female,25,5,0,2,0,0,190.85779,0
15600882,635,Spain,Female,35,7,0,2,1,1,65.95165,0
15643966,616,Germany,Male,45,3,143.12941,2,0,1,64.32726,0
15737452,653,Germany,Male,58,1,132.60288,1,1,0,5.09767,1
15788218,549,Spain,Female,24,9,0,2,1,1,14.40641,0
15661507,587,Spain,Male,45,6,0,1,0,0,158.68481,0
15568982,726,France,Female,24,6,0,2,1,1,54.72403,0
15577657,732,France,Male,41,8,0,2,1,1,170.88617,0
15597945,636,Spain,Female,32,8,0,2,1,0,138.55546,0
15699309,510,Spain,Female,38,4,0,1,1,0,118.91353,1
15725737,669,France,Male,46,3,0,2,0,1,8.48775,0
15625047,846,France,Female,38,5,0,1,1,1,187.61616,0
15738191,577,France,Male,25,3,0,2,0,1,124.50829,0
15736816,756,Germany,Male,36,2,136.81564,1,1,1,170.04195,0
15700772,571,France,Male,44,9,0,2,0,0,38.43335,0
15728693,574,Germany,Female,43,3,141.34943,1,1,1,100.18743,0
15656300,411,France,Male,29,0,59.69717,2,1,1,53.48321,0
15589475,591,Spain,Female,39,3,0,3,1,0,140.46938,1
15706552,533,France,Male,36,7,85.3117,1,0,1,156.73191,0
15750181,553,Germany,Male,41,9,110.11254,2,0,0,81.89881,0
15659428,520,Spain,Female,42,6,0,2,1,1,34.41055,0
15732963,722,Spain,Female,29,9,0,2,1,1,142.03307,0
15794171,475,France,Female,45,0,134.26404,1,1,0,27.82299,1
15788448,490,Spain,Male,31,3,145.26023,1,0,1,114.06677,0
15729599,804,Spain,Male,33,7,76.5486,1,0,1,98.45345,0
15717426,850,France,Male,36,7,0,1,1,1,40.8129,0
15585768,582,Germany,Male,41,6,70.34948,2,0,1,178.07404,0
