"Date","PETR3.SA","VALE3.SA","WEGE3.SA","LREN3.SA","RAIZ4.SA","bbdc3.SA","EGIE3.SA","B3SA3.SA","AZZA3.SA","GRND3.SA"
"2022-01-03",0,0,0,0,0,0,0,0,0,0
"2022-01-04",0.012690276860533,-0.0117948271550697,-0.00499693156015035,-0.0121317631813436,0.00956935816160853,0.00467284067177176,0.00262900952982936,0.0214552722783841,-0.0294893390854849,-0.0234859053828325
"2022-01-05",-0.041040166128255,0.00947069353815633,-0.0527307086689613,-0.0486841882824363,-0.0853079672993465,-0.00662292713959234,-0.014158421247332,-0.0210046125960341,-0.0480740831207848,-0.0126581917042107
"2022-01-06",-0.000979930069332724,0.0201772592268574,-0.000331240776178743,0.0511756324059609,-0.0360594545638306,0.0109091707567925,-0.00797894955112466,0.024253742840076,0.0182825254013834,0.00128206168158451
"2022-01-07",0.00817528573704807,0.0582010860410991,-0.0251905615020337,0.00833319591255632,0.0467628760226948,0.00419662116875563,0.00134055220224316,0.0236792340046299,-0.00794693167070359,0.00768237973289976
"2022-01-10",-0.00356795049152603,-0.0119045485278488,-0.0289017664694333,-0.0108741099169566,-0.0206187057212553,0.0131340619387197,0.0104419958506339,-0.00533810359255804,-0.0390150191377555,0.00381197527053745
"2022-01-11",0.0413410640297005,0.0190360520543453,0.0168066949174828,0.0228671500141526,0.0350878205483602,0.0100179576984363,0.00158990722878305,0.00268342358608975,0.0279406355666514,0.00126569381282993
"2022-01-12",0.033135412351889,0.0108772909419801,0.0406336551556072,0.0597591671547324,0.0389829995684836,-0.00875129471536418,0.00476165568160725,0.035682499237722,0.031085735907173,0.0391911524280597
"2022-01-13",0.0242057434253908,-0.0152048126988066,-0.037061420311434,0.00446256796760869,-0.0032626959843336,0.0111829242380004,0.00816218278484748,-0.00172266086909434,-0.00407809215163035,-0.00364986514554477
"2022-01-14",0.0209749881842871,0.00581965920494687,0.0549825807200042,-0.0319063917455672,0.0130934157983664,0.0151339604600274,0.00261184432428796,0.0543572270132484,-0.00467973532044619,0.00732593350499777
